Call_Type,Charging_Tm,Call_Duration,Location,A_Num,B_Num,cell_id,IMEI,TAC,DESTINATION,DESTINATION_CAT,MU_Device_type_Segment,MU_HANDSET_MOBILE_TECH
0,2024-12-02 00:47:00,25.535412,33790,428,35938,768263.0,9234,5790,OTA,ON-NET,Basic & Feature Phone,2G
7,2024-12-02 01:05:00,2.0,20960,699,24396,778837.0,13327,134,OTA-SHORT,OTA-SHORT,Smartphone,4G
7,2024-12-02 03:01:00,2.0,33790,428,20411,768263.0,9234,5790,MOBILIS,OFF-NET,Basic & Feature Phone,2G
7,2024-12-02 06:01:00,2.0,18486,541,24396,833511.0,1796,5563,OTA-SHORT,OTA-SHORT,Smartphone,4G
7,2024-12-02 07:33:00,2.0,11638,376,24394,738832.0,14769,179,OTA,ON-NET,Modem,3G
0,2024-12-02 07:52:00,63.365652,35257,112,42115,813981.0,11515,69,OTA,ON-NET,Smartphone,4G
7,2024-12-02 07:53:00,2.0,11638,376,24394,738832.0,14769,179,OTA,ON-NET,Modem,3G
6,2024-12-02 08:09:00,2.0,11638,376,24394,738832.0,14769,179,OTA,ON-NET,Modem,3G
7,2024-12-02 08:29:00,2.0,11638,376,24394,738832.0,14769,179,OTA,ON-NET,Modem,3G
0,2024-12-02 08:33:00,52.962336,44630,37,44746,817987.0,302,5494,OTA,ON-NET,Basic & Feature Phone,2G
0,2024-12-02 08:33:00,57.691116,39201,271,29388,760565.0,9269,5792,OTA,ON-NET,Smartphone,4G
6,2024-12-02 08:39:00,2.0,33790,428,24394,768263.0,9234,5790,OTA,ON-NET,Basic & Feature Phone,2G
6,2024-12-02 08:46:00,2.0,11638,376,24394,738832.0,14769,179,OTA,ON-NET,Modem,3G
0,2024-12-02 08:52:00,331.960356,38771,358,21888,821857.0,12150,92,MOBILIS,OFF-NET,Smartphone,4G
7,2024-12-02 08:53:00,2.0,33861,34,24396,833275.0,10349,36,OTA-SHORT,OTA-SHORT,Smartphone,4G
7,2024-12-02 09:00:00,2.0,43379,426,24396,949250.0,1532,5552,OTA-SHORT,OTA-SHORT,Smartphone,4G
7,2024-12-02 09:20:00,2.0,10236,64,24395,964728.0,16225,230,OTA-SHORT,OTA-SHORT,Smartphone,4G
0,2024-12-02 09:24:00,47.2878,5779,66,31393,829619.0,9663,13,OTA,ON-NET,Smartphone,4G
0,2024-12-02 09:25:00,39.721752,1042,10,23719,787333.0,9643,11,MOBILIS,OFF-NET,Smartphone,4G
1,2024-12-02 09:31:00,30.264192,36872,10,22208,864252.0,9643,11,MOBILIS,OFF-NET,Smartphone,4G
0,2024-12-02 09:39:00,67.148676,35285,80,16178,931745.0,16052,223,NEDJMA,OFF-NET,Smartphone,4G
0,2024-12-02 09:48:00,73.768968,37302,20,22412,848692.0,13276,130,MOBILIS,OFF-NET,Smartphone,4G
0,2024-12-02 09:52:00,12.294828,8977,52,20719,806818.0,12698,108,MOBILIS,OFF-NET,Smartphone,4G
7,2024-12-02 09:52:00,2.0,11638,376,24394,738832.0,14769,179,OTA,ON-NET,Modem,3G
