Call_Type,Call_Duration,IMEI,TAC,DESTINATION_CAT,MU_Device_type_Segment,MU_HANDSET_MOBILE_TECH,is_fraud
0,25.535412,9234,5790,ON-NET,Basic & Feature Phone,2G,1
7,2.0,13327,134,OTA-SHORT,Smartphone,4G,1
7,2.0,9234,5790,OFF-NET,Basic & Feature Phone,2G,1
7,2.0,1796,5563,OTA-SHORT,Smartphone,4G,1
7,2.0,14769,179,ON-NET,Modem,3G,1
0,63.365652,11515,69,ON-NET,Smartphone,4G,1
7,2.0,14769,179,ON-NET,Modem,3G,1
6,2.0,14769,179,ON-NET,Modem,3G,1
7,2.0,14769,179,ON-NET,Modem,3G,1
0,57.691116,9269,5792,ON-NET,Smartphone,4G,1
0,52.962336,302,5494,ON-NET,Basic & Feature Phone,2G,1
6,2.0,9234,5790,ON-NET,Basic & Feature Phone,2G,1
6,2.0,14769,179,ON-NET,Modem,3G,1
0,331.960356,12150,92,OFF-NET,Smartphone,4G,1
7,2.0,10349,36,OTA-SHORT,Smartphone,4G,1
7,2.0,1532,5552,OTA-SHORT,Smartphone,4G,1
7,2.0,16225,230,OTA-SHORT,Smartphone,4G,1
0,47.2878,9663,13,ON-NET,Smartphone,4G,1
0,39.721752,9643,11,OFF-NET,Smartphone,4G,1
1,30.264192,9643,11,OFF-NET,Smartphone,4G,1
0,67.148676,16052,223,OFF-NET,Smartphone,4G,1
0,73.768968,13276,130,OFF-NET,Smartphone,4G,1
0,12.294828,12698,108,OFF-NET,Smartphone,4G,1
7,2.0,14769,179,ON-NET,Modem,3G,1
7,2.0,14769,179,ON-NET,Modem,3G,1
0,82.280772,1317,5534,ON-NET,Basic & Feature Phone,2G,1
6,2.0,5799,5690,ON-NET,Smartphone,4G,1
0,13.240584,13697,144,ON-NET,Smartphone,4G,1
0,3.783024,12698,108,OFF-NET,Smartphone,4G,1
7,2.0,1033,5531,INTERNATIONAL,Smartphone,4G,1
6,2.0,9921,20,ON-NET,Smartphone,4G,1
6,2.0,15097,189,ON-NET,Smartphone,4G,1
6,2.0,206,5489,ON-NET,Smartphone,3G,1
6,2.0,15658,208,ON-NET,Smartphone,4G,1
6,2.0,15097,189,ON-NET,Smartphone,4G,1
6,2.0,10263,33,ON-NET,Smartphone,4G,1
6,2.0,206,5489,ON-NET,Smartphone,3G,1
6,2.0,15097,189,ON-NET,Smartphone,4G,1
6,2.0,10263,33,ON-NET,Smartphone,4G,1
6,2.0,9921,20,ON-NET,Smartphone,4G,1
6,2.0,10263,33,ON-NET,Smartphone,4G,1
6,2.0,206,5489,ON-NET,Smartphone,3G,1
6,2.0,15097,189,ON-NET,Smartphone,4G,1
6,2.0,206,5489,ON-NET,Smartphone,3G,1
6,2.0,9921,20,ON-NET,Smartphone,4G,1
6,2.0,10263,33,ON-NET,Smartphone,4G,1
6,2.0,13417,139,ON-NET,Smartphone,4G,1
7,2.0,10263,33,ON-NET,Smartphone,4G,1
6,2.0,9921,20,ON-NET,Smartphone,4G,1
6,2.0,206,5489,ON-NET,Smartphone,3G,1
6,2.0,15097,189,ON-NET,Smartphone,4G,1
6,2.0,13417,139,ON-NET,Smartphone,4G,1
0,17.969364,5822,5691,ON-NET,Smartphone,4G,1
6,2.0,13417,139,ON-NET,Smartphone,4G,1
6,2.0,206,5489,ON-NET,Smartphone,3G,1
7,2.0,206,5489,OTA-SHORT,Smartphone,3G,1
6,2.0,9921,20,ON-NET,Smartphone,4G,1
6,2.0,15097,189,ON-NET,Smartphone,4G,1
6,2.0,206,5489,ON-NET,Smartphone,3G,1
6,2.0,13417,139,ON-NET,Smartphone,4G,1
6,2.0,10263,33,ON-NET,Smartphone,4G,1
6,2.0,13417,139,ON-NET,Smartphone,4G,1
1,43.504776,2400,5586,OFF-NET,Basic & Feature Phone,2G,1
