Call_Type,Call_Duration,IMEI,TAC,DESTINATION_CAT,MU_Device_type_Segment,MU_HANDSET_MOBILE_TECH,is_fraud
0,119.165256,7444,2979,ON-NET,Smartphone,4G,0
0,43.504776,5743,2289,OFF-NET,Smartphone,4G,0
7,2.0,8020,3171,ON-NET,Smartphone,4G,0
7,2.0,16170,5224,OTA-SHORT,Smartphone,4G,0
1,507.870972,11658,4134,ON-NET,Smartphone,4G,0
1,10.403316,14313,4775,OFF-NET,Smartphone,4G,0
6,2.0,15818,5137,ON-NET,Smartphone,4G,0
1,4.72878,11604,4120,ON-NET,Smartphone,4G,0
7,2.0,12819,4436,OTA-SHORT,Smartphone,4G,0
7,2.0,5876,2347,OTA-SHORT,Smartphone,4G,0
1,78.497748,15068,4949,OFF-NET,Smartphone,4G,0
7,2.0,13704,4633,OTA-SHORT,Smartphone,4G,0
6,2.0,13943,4673,ON-NET,Smartphone,4G,0
7,2.0,10059,3721,INTERNATIONAL,Smartphone,4G,0
7,2.0,4105,1635,OTA-SHORT,Smartphone,4G,0
1,2821.190148,16567,5329,ON-NET,Smartphone,4G,0
7,2.0,13943,4673,ON-NET,Smartphone,4G,0
7,2.0,14902,4899,ON-NET,Smartphone,4G,0
1,156.995496,6777,2734,ON-NET,Smartphone,4G,0
6,2.0,13943,4673,ON-NET,Smartphone,4G,0
7,2.0,13536,4614,OTA-SHORT,Smartphone,4G,0
1,2859.966144,13772,4641,ON-NET,Smartphone,4G,0
7,2.0,15760,5123,INTERNATIONAL,Smartphone,4G,0
100,22.698144,17091,5797,OTA-SHORT,Other,2G,0
7,2.0,11243,4011,ON-NET,Smartphone,4G,0
7,2.0,13943,4673,ON-NET,Smartphone,4G,0
1,176.856372,5913,2365,ON-NET,Smartphone,4G,0
7,2.0,16464,5294,OTA-SHORT,Smartphone,4G,0
6,2.0,5779,2307,ON-NET,Smartphone,4G,0
1,23.6439,3854,1536,OFF-NET,Basic & Feature Phone,2G,0
0,118.2195,16707,5363,OFF-NET,Smartphone,4G,0
7,2.0,16464,5294,OTA-SHORT,Smartphone,4G,0
7,2.0,13943,4673,ON-NET,Smartphone,4G,0
1,386.814204,6069,2430,ON-NET,Smartphone,4G,0
6,2.0,13943,4673,ON-NET,Smartphone,4G,0
7,2.0,12635,4378,OTA-SHORT,Smartphone,4G,0
1,21.752388,5855,2338,OFF-NET,Smartphone,4G,0
1,30.264192,11849,4178,ON-NET,Smartphone,4G,0
7,2.0,12565,4366,INTERNATIONAL,Smartphone,4G,0
